+----------+--------+------------+------------+----------------------------------------------------------------------------------------------------------------------+
| ReviewID | BookID | CustomerID | Date       | Comment                                                                                                              |
+----------+--------+------------+------------+----------------------------------------------------------------------------------------------------------------------+
|        1 |     97 |         42 | 2023-06-10 | Nam nulla.                                                                                                           |
|        2 |     32 |         56 | 2023-11-15 | Ut at dolor quis odio consequat varius.                                                                              |
|        3 |    206 |         55 | 2023-09-05 | Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.                                                    |
|        4 |    487 |         72 | 2023-06-29 | In est risus, auctor sed, tristique in, tempus sit amet, sem.                                                        |
|        5 |     94 |         33 | 2023-06-14 | Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.                                                       |
|        6 |    147 |         34 | 2023-05-29 | Nulla tellus.                                                                                                        |
|        8 |    149 |         22 | 2023-04-15 | Nullam porttitor lacus at turpis.                                                                                    |
|        9 |    239 |         58 | 2023-04-09 | Morbi ut odio.                                                                                                       |
|       10 |    146 |         35 | 2023-11-07 | Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.              |
|       11 |     99 |         59 | 2023-11-05 | Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.                 |
|       12 |    261 |          3 | 2023-06-19 | Praesent lectus.                                                                                                     |
|       13 |    237 |         12 | 2023-09-08 | In hac habitasse platea dictumst.                                                                                    |
|       14 |    109 |         73 | 2023-02-15 | Cras pellentesque volutpat dui.                                                                                      |
|       15 |    227 |         92 | 2023-09-11 | Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.                                |
|       16 |    384 |         90 | 2023-03-05 | Pellentesque at nulla.                                                                                               |
|       17 |    273 |         42 | 2023-01-26 | Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. |
|       18 |    140 |         90 | 2023-07-08 | Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.                                |
|       19 |    482 |         15 | 2023-10-31 | Vestibulum ac est lacinia nisi venenatis tristique.                                                                  |
|       20 |    222 |         72 | 2023-11-20 | Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.                                                   |
|       21 |    145 |         51 | 2023-02-27 | Nulla justo.                                                                                                         |
|       22 |    417 |         23 | 2023-08-08 | Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.                                                      |
|       23 |    164 |         27 | 2023-07-01 | Suspendisse potenti.                                                                                                 |
|       24 |     53 |         92 | 2023-04-10 | In sagittis dui vel nisl.                                                                                            |
|       25 |    445 |         37 | 2023-10-14 | Maecenas rhoncus aliquam lacus.                                                                                      |
|       26 |    175 |         80 | 2023-11-22 | Integer a nibh.                                                                                                      |
|       27 |    312 |         54 | 2023-03-13 | Nulla tellus.                                                                                                        |
|       28 |     96 |         33 | 2023-07-11 | Nunc purus.                                                                                                          |
|       29 |     61 |         17 | 2023-05-05 | Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.                                                   |
|       30 |    163 |         71 | 2023-02-19 | Morbi ut odio.                                                                                                       |
+----------+--------+------------+------------+----------------------------------------------------------------------------------------------------------------------+
